Name,Artist,Album,Genres,Popularity,Available,Explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,type,track_href,analysis_url,track_uri,artist_uri,album_uri
Funny Thing,['Thundercat'],It Is What It Is,['afrofuturism'],74,True,False,0.586,0.893,7,-8.772,1,0.439,0.827,0.642,0.212,0.65,140.023,116630,3,audio_features,https://api.spotify.com/v1/tracks/1c5CllrZr45UBhWpIqM332,https://api.spotify.com/v1/audio-analysis/1c5CllrZr45UBhWpIqM332,spotify:track:1c5CllrZr45UBhWpIqM332,['spotify:artist:4frXpPxQQZwbCu3eTGnZEw'],spotify:album:59GRmAvlGs7KjLizFnV7Y9
街の報せ Rework 黒田卓也,['cero'],街の報せ Rework 黒田卓也,"['j-rock', 'japanese alternative rock', 'japanese indie pop', 'japanese soul', 'shibuya-kei']",34,True,False,0.768,0.348,7,-12.357,1,0.139,0.389,0.74,0.121,0.481,87.006,286836,4,audio_features,https://api.spotify.com/v1/tracks/1bBDwauDhzcOxV0pqHgBey,https://api.spotify.com/v1/audio-analysis/1bBDwauDhzcOxV0pqHgBey,spotify:track:1bBDwauDhzcOxV0pqHgBey,['spotify:artist:1V1HDPQwGOyUIr9KB6Oq7Q'],spotify:album:0DpwMSu8p7W6uoua8j7ffC
Spartacus Love Theme,['SOIL & “PIMP” SESSIONS'],Brothers & Sisters,"['japanese jazz', 'japanese jazz fusion', 'japanese jazztronica']",36,True,False,0.512,0.565,1,-6.891,1,0.0528,0.232,0.913,0.166,0.436,85.893,422964,4,audio_features,https://api.spotify.com/v1/tracks/1DezS9kjU3DfhRsSzpz8hh,https://api.spotify.com/v1/audio-analysis/1DezS9kjU3DfhRsSzpz8hh,spotify:track:1DezS9kjU3DfhRsSzpz8hh,['spotify:artist:5COMNbVWoe1Kb5UTFAaUwF'],spotify:album:6MRiATex5j9GzXAgPzpvzC
丸の内サディスティック,['UNCHAIN'],Love & Groove Delivery,['j-rock'],45,True,False,0.567,0.924,8,-3.824,1,0.0588,0.107,0.0,0.344,0.707,101.934,243846,4,audio_features,https://api.spotify.com/v1/tracks/6PDL4t1R5m3kYN2qIumKc1,https://api.spotify.com/v1/audio-analysis/6PDL4t1R5m3kYN2qIumKc1,spotify:track:6PDL4t1R5m3kYN2qIumKc1,['spotify:artist:02PEhzGH16gaPuzm29f0zL'],spotify:album:2ybDbV5RhfXim6vLWH2ymt
SOUVENIR,['BUMP OF CHICKEN'],SOUVENIR,"['j-pop', 'j-rock']",75,True,False,0.622,0.94,2,-4.997,1,0.0413,0.0094,6.48e-06,0.0957,0.96,158.056,264127,4,audio_features,https://api.spotify.com/v1/tracks/7qOsSOpiL3R8RKyiBtIYNQ,https://api.spotify.com/v1/audio-analysis/7qOsSOpiL3R8RKyiBtIYNQ,spotify:track:7qOsSOpiL3R8RKyiBtIYNQ,['spotify:artist:0hSFeqPehe7FtCNWuQ6Bsy'],spotify:album:62Rk2K7V2le9NBC75ANiX7
色彩,['yama'],色彩,"['j-pop', 'japanese teen pop']",74,True,False,0.581,0.926,7,-3.268,0,0.0662,0.176,0.0,0.251,0.874,117.04,192176,4,audio_features,https://api.spotify.com/v1/tracks/1uveEvgKX4irLcp1BUTIFD,https://api.spotify.com/v1/audio-analysis/1uveEvgKX4irLcp1BUTIFD,spotify:track:1uveEvgKX4irLcp1BUTIFD,['spotify:artist:7kOrrFIBIBc8uCu2zbxbLv'],spotify:album:3gQJWupAma6DdzcHVBQ9Bn
what a friend we have in Jesus.,"['Spencer Boliou', 'Lofi Hymns.']",what a friend we have in Jesus.,[],24,True,False,0.559,0.399,1,-12.157,1,0.0331,0.835,3.67e-05,0.119,0.394,77.982,235481,4,audio_features,https://api.spotify.com/v1/tracks/1iQ7xisoLBiWwFfXwWJhFo,https://api.spotify.com/v1/audio-analysis/1iQ7xisoLBiWwFfXwWJhFo,spotify:track:1iQ7xisoLBiWwFfXwWJhFo,"['spotify:artist:4gh6kaoKHlhriLY2HJ2QLx', 'spotify:artist:20ZyjUv8IineeYzi9PfLcW']",spotify:album:4jT99YJHT6WsjNwimZUB87
Forget About the Boy,['Veronica Swift'],Confessions,['contemporary vocal jazz'],13,True,False,0.646,0.436,1,-9.117,1,0.059,0.756,1.2e-06,0.127,0.364,107.551,301671,4,audio_features,https://api.spotify.com/v1/tracks/4pAaArhwMtpZGmFpHmYgmJ,https://api.spotify.com/v1/audio-analysis/4pAaArhwMtpZGmFpHmYgmJ,spotify:track:4pAaArhwMtpZGmFpHmYgmJ,['spotify:artist:0YyqJ4bcQqxXdsdpgQPwtl'],spotify:album:1yi4NWdyakAZVxpnbKhrCG
Harmonics,['Eric Lau'],Examples,['indie jazz'],26,True,False,0.709,0.528,11,-7.055,1,0.316,0.418,0.748,0.115,0.599,93.836,122718,4,audio_features,https://api.spotify.com/v1/tracks/2HL6IH5t40nKJOXiqKzo0T,https://api.spotify.com/v1/audio-analysis/2HL6IH5t40nKJOXiqKzo0T,spotify:track:2HL6IH5t40nKJOXiqKzo0T,['spotify:artist:68P6JiHWJsv5VqfLPchS1n'],spotify:album:28SBlJC9xoNxZzxcBtHeOD
Its Rainy,['Eric Lau'],Examples,['indie jazz'],36,True,False,0.606,0.644,6,-8.661,1,0.0305,0.628,0.862,0.133,0.743,93.928,128497,4,audio_features,https://api.spotify.com/v1/tracks/3IH4y5nbL6mb9KR3QhgsfI,https://api.spotify.com/v1/audio-analysis/3IH4y5nbL6mb9KR3QhgsfI,spotify:track:3IH4y5nbL6mb9KR3QhgsfI,['spotify:artist:68P6JiHWJsv5VqfLPchS1n'],spotify:album:28SBlJC9xoNxZzxcBtHeOD
